Model,Accuracy,Precision,Recall,F1-score,Accuracy (%),Precision (%),Recall (%),F1-score (%)
CNN + Bi-LSTM,0.930635838150289,0.9169586937941835,0.930635838150289,0.9220043051336317,93.0635838150289,91.69586937941835,93.0635838150289,92.20043051336317
Vision Transformer,0.9653179190751445,0.9485680504466633,0.9653179190751445,0.9567977546860904,96.53179190751445,94.85680504466633,96.53179190751445,95.67977546860904
CNN Feature + SVM,0.9595375722543352,0.9430292543074253,0.9595375722543352,0.9510131037706513,95.95375722543352,94.30292543074253,95.95375722543352,95.10131037706513
